fraction	read_pairs	cs_families	ss_families	ds_families	ds_duplexes	ds_fraction_duplexes
1.0	22889162	12286394	14623384	11796051	1932	0.00016378362555400955
0.7278953843983146	16659329	9389909	11248514	9060531	1926	0.00021257032286518305
0.5298316906283708	12125140	7133170	8604999	6910817	1910	0.00027637832111601277
0.38566204211634725	8826026	5398143	6564421	5247224	1888	0.0003598093010704327
0.2807216203941176	6425410	4077921	5004957	3974432	1867	0.0004697526589963044
0.20433597178569418	4675215	3077271	3819444	3006566	1836	0.0006106634612378374
0.14873521072935117	3402999	2324833	2924018	2276305	1798	0.0007898765762935986
0.1082636733874054	2476777	1759315	2246517	1726216	1733	0.0010039299832697646
0.07880462815669913	1802812	1332213	1730355	1310192	1639	0.0012509616911109212
0.05736152510448681	1312451	1009568	1335572	995299	1512	0.0015191414841168333
0.041753189365604	955158	764730	1029794	755565	1369	0.0018118891160919311
0.03039195382313198	695525	578618	792637	573021	1193	0.002081948131045808
0.02212216291070448	506375	436443	607228	433116	1003	0.0023157768357668614
0.01610262027560939	368632	327446	461861	325493	813	0.0024977495675790264
0.011721022975334805	268538	244937	349326	243794	644	0.0026415744439978015
0.008531678524172805	195654	182316	262328	181639	516	0.0028407996080136973
0.006210169418915616	142032	134543	194929	134164	399	0.002973972153483796
0.004520353656360241	103616	99494	144903	99268	304	0.003062416891646855
0.0032903445623126675	75362	73099	106853	72979	218	0.0029871606900615244
0.002395026619987486	54751	53529	78522	53481	159	0.002973018455152297
0.0017433288221999873	39943	39272	57748	39247	123	0.0031339975029938596
0.0012689610031679222	28976	28625	42222	28612	90	0.003145533342653432
0.0009236708571873865	21036	20855	30765	20849	61	0.0029257997985514895
0.0006723357536499335	15212	15119	22379	15117	50	0.003307534563736191
0.0004893900918477494	11051	11001	16266	11002	34	0.003090347209598255
0.0003562247890262444	8068	8042	11901	8043	27	0.0033569563595673255
0.0002592943797404667	5813	5800	8632	5801	21	0.0036200655059472507
0.00018873918221350977	4225	4216	6273	4217	17	0.004031301873369694
0.00013738237958832623	3044	3038	4522	3039	12	0.003948667324777887
0.0001	2222	2218	3285	2219	9	0.00405588102748986
